107980 4 
69	1844	834	6281
72	1845	912	6284
2112	2113	9474	13342
534	5494	1454	6287
358	4426	1310	6288
80	1850	1124	6292
840	10802	4476	17358
1429	6297	5477	12551
37	6029	6027	6304
353	4420	1304	6305
1350	2059	12204	18695
15	1860	1880	6307
969	14464	5956	19758
619	5898	1684	6310
1287	1864	12162	18559
292	3414	1375	6312
711	4250	4380	6315
1282	5245	1339	6316
87	4877	4879	6535
799	6029	1853	6321
395	4417	924	6322
339	3916	1807	6323
642	11607	1914	11610
409	4392	1321	6325
1098	7163	5135	18392
710	4517	1486	6327
135	1918	448	6331
57	2072	6073	7397
4651	4652	4653	14346
677	5712	1572	6338
1426	1912	9939	13537
1250	15315	1927	18066
88	1928	375	6344
2915	4094	10113	16819
725	6152	1801	6347
398	4423	1540	6348
1047	2149	4814	6350
1504	5604	5601	12685
124	1934	1095	6356
27	6358	5184	18065
560	1936	14010	17227
36	2974	626	6743
59	2843	627	7112
523	2988	1364	6364
127	1940	1030	6368
438	1015	3746	6369
312	4316	1299	6370
1752	6006	6004	14911
1188	2153	6374	8512
247	1946	2153	6383
3858	12426	12427	12433
324	1748	3873	6385
134	1968	1069	6387
2240	7211	5280	17126
73	6154	4258	6391
180	1975	304	6393
266	4023	4027	16674
572	2849	4621	6397
20	1980	6398	8802
875	4521	4524	17415
7	6399	1981	10005
657	4896	6404	11600
1636	3736	1984	15498
1240	1708	1710	6433
1236	10558	2277	14019
167	4984	3881	6438
89	4495	6261	6441
46	2648	667	11434
31	8606	6445	8610
613	4151	776	6446
126	4991	4993	8480
2584	6841	5784	13149
1752	2870	2871	13648
57	2504	2503	13555
345	690	4454	10772
326	1628	3737	6452
112	2017	978	6455
2018	3364	11574	17978
28	5423	5424	14537
660	1911	2277	6465
1673	4476	2708	6466
272	4190	2021	10496
575	1773	1775	6476
146	4478	6293	17344
259	1816	6198	6480
675	6477	2912	10581
36	533	2036	6483
1405	2157	6486	11919
1780	6488	6092	13823
413	6833	2316	20309
13	4219	6492	11663
279	10536	5613	19176
1670	5879	5878	19628
506	1775	949	6494
1359	5352	5736	14431
942	3535	3534	15980
388	3426	6497	16815
2942	5394	2943	18800
3	2055	6501	16684
57	2504	2502	6502
1682	4888	2057	11652
2058	7062	7061	20066
2059	2060	12204	18561
233	5601	4425	19158
562	12201	1353	12208
301	4229	4254	16971
40	2066	901	6515
1001	2068	2069	8421
2196	6296	5474	17446
63	2034	6198	6519
210	272	4185	10200
214	4032	1773	6520
747	3176	15530	17849
57	2125	2123	6521
61	5398	4194	10921
479	3067	5958	6523
709	1149	4284	6524
703	4318	6525	18742
63	3265	2186	6528
1266	5215	5941	6947
612	2663	13075	13080
1809	6179	6173	13393
340	1913	1894	9566
87	5103	4877	6535
298	672	1381	6545
786	5173	5762	17779
460	2928	7645	16545
1372	5372	4394	15778
181	2083	4601	12425
1423	7512	3486	15918
214	1769	6060	6552
717	6313	4250	16964
4	6558	2089	16620
1265	4386	3069	8144
81	3987	4573	16609
773	4901	4909	18017
76	2096	580	6565
94	2099	307	6567
919	2438	8696	8705
1184	2892	2891	7510
920	3968	6023	7827
2	2104	6572	16587
1040	4803	1042	6574
2106	5673	2107	13813
742	2116	16159	17080
743	4467	6588	10801
745	3835	4356	13836
309	2889	1184	6597
747	6602	4784	11384
948	6073	7320	19970
5	2126	6611	16770
