82 4
2	17	13	33
6	21	12	29
2	12	9	16
9	15	12	33
4	11	9	18
9	11	15	34
2	13	9	33
4	11	23	32
6	12	24	30
6	14	10	22
9	15	11	32
9	12	15	30
4	9	10	25
7	11	19	34
1	13	9	27
1	11	9	34
3	9	10	30
4	9	11	32
7	20	11	31
8	14	10	31
2	9	12	33
7	19	13	34
6	24	10	30
1	9	13	34
6	10	14	29
4	23	10	32
4	10	9	32
3	12	9	30
3	9	12	16
9	13	15	33
1	9	11	18
9	15	13	34
10	14	15	31
10	15	14	29
8	10	14	22
9	10	15	32
9	15	10	30
3	10	9	25
7	14	20	31
2	9	13	27
6	14	21	29
2	12	17	33
7	26	14	28
7	13	26	28
5	26	13	28
5	14	26	28
5	21	14	29
5	12	21	29
5	14	28	29
5	28	12	29
14	15	28	29
12	28	15	29
3	24	12	30
3	10	24	30
6	29	12	30
6	10	29	30
12	29	15	30
10	15	29	30
8	20	14	31
8	11	20	31
7	28	14	31
7	11	28	31
14	28	15	31
11	15	28	31
8	23	11	32
8	10	23	32
8	11	31	32
8	31	10	32
11	15	31	32
10	31	15	32
5	17	12	33
5	13	17	33
5	28	13	33
5	12	28	33
13	28	15	33
12	15	28	33
1	19	11	34
1	13	19	34
7	13	28	34
7	28	11	34
13	15	28	34
11	28	15	34
